ID,UserID,Status,HotelRoomID,CarID,TrainSeatID,HotelStartDate,HotelEndDate,CarStartDate,CarEndDate,HotelReservationID,CarReservationID,TrainReservationID,HotelReservationStatus,CarReservationStatus,TrainReservationStatus,HotelReservationFailureReason,CarReservationFailureReason,TrainReservationFailureReason,CarDoneAt,TrainDoneAt,HotelDoneAt,DoneAt,CreatedAt,UpdatedAt
01JYW1WZ3M0GAA8BRYD94EZ0T8,31,BOOKED,ac-hotel-jakarta-211,daihatsu-ayla-031,argo-bromo-anggrek-126,2025-06-28,2025-06-28,2025-06-28,2025-06-28,01JYW1WZ7WW9THF4AHCTE6NEKH,01JYW1WZ8BMBVH6B6E7MR66Y4T,01JYW1WZ7W8RE9BH8HY6JSNSW7,BOOKED,BOOKED,BOOKED,,,,1751140695621,1751140695403,1751140695516,1751140695621,1751140695156,1751140695662
01JYW1WZ918ZEMREMD08S7PSB6,118,BOOKED,aloft-jakarta-118,daihatsu-calya-018,argo-bromo-anggrek-204,2025-06-28,2025-06-28,2025-06-28,2025-06-28,01JYW1WZD7DS6AVGFAMB9DBCA8,01JYW1WZD5F9FHH3JM7Z0VX3CZ,01JYW1WZDBP4AK8RF29BSGAW4X,BOOKED,BOOKED,BOOKED,,,,1751140695854,1751140695953,1751140695732,1751140695953,1751140695329,1751140695986
01JYW1WZGNP5A668T3J6AS1M49,92,BOOKED,ac-hotel-jakarta-512,daihatsu-ayla-092,argo-bromo-anggrek-181,2025-06-28,2025-06-28,2025-06-28,2025-06-28,01JYW1WZNEMWSMWTX0HHBYYYPB,01JYW1WZQ7MNZHN1PN4E8BHKYQ,01JYW1WZMSAR36K2P3VYVJ8D8H,BOOKED,BOOKED,BOOKED,,,,1751140696218,1751140696040,1751140696130,1751140696218,1751140695573,1751140696246
01JYW1X04SB4E9B9PDXEYT2Z0P,126,BOOKED,aloft-jakarta-206,daihatsu-calya-026,argo-bromo-anggrek-211,2025-06-28,2025-06-28,2025-06-28,2025-06-28,01JYW1X07PWDB0P9R3HKDCG48J,01JYW1X086WT0H3DS7XH6Y3M9H,01JYW1X0CFNYCR1WKSE2MJJJRX,BOOKED,BOOKED,BOOKED,,,,1751140696518,1751140696622,1751140696407,1751140696622,1751140696217,1751140696652
01JYW1X0BKFC5B8Q17646Z4J4C,16,BOOKED,ac-hotel-jakarta-116,daihatsu-ayla-016,argo-bromo-anggrek-112,2025-06-28,2025-06-28,2025-06-28,2025-06-28,01JYW1X0EM15QX7BR7933KN5J0,01JYW1X0K466FTH48WNVKHK783,01JYW1X0EZPW4TJC4JV5F8C4GQ,BOOKED,BOOKED,BOOKED,,,,1751140697573,1751140696846,1751140696712,1751140697573,1751140696435,1751140697734
01JYW1X0FTWQA5XDNHZQ1H5KAT,9,BOOKED,ac-hotel-jakarta-109,daihatsu-ayla-009,argo-bromo-anggrek-106,2025-06-28,2025-06-28,2025-06-28,2025-06-28,01JYW1X0JMSRJ4DBZ49Q5G9M1P,01JYW1X0P3XTF7YMYNMFWFE7RD,01JYW1X0JMQ0PPB88PR5X67A27,BOOKED,BOOKED,BOOKED,,,,1751140704729,1751140704555,1751140697134,1751140704729,1751140696570,1751140704903
01JYW1X0V1EW77K7BBFGDW1ZA1,47,BOOKED,ac-hotel-jakarta-307,daihatsu-ayla-047,argo-bromo-anggrek-140,2025-06-28,2025-06-28,2025-06-28,2025-06-28,01JYW1X17P8RB19F627RY5DM2F,01JYW1X15XGWVYA8ZHZV9ZV65D,01JYW1X1600HDY0BZFTGDK4PJ5,BOOKED,BOOKED,BOOKED,,,,1751140705066,1751140705383,1751140705783,1751140705783,1751140696929,1751140705812
01JYW1X102FRSAV2EHQ1BZ17HV,58,BOOKED,ac-hotel-jakarta-318,daihatsu-ayla-058,argo-bromo-anggrek-150,2025-06-28,2025-06-28,2025-06-28,2025-06-28,01JYW1X1BWPJHYNQJWEB5WEHWT,01JYW1X1NWBV71JFFTYJN13JGB,01JYW1X1NT7F9PKB0B43K06KJD,BOOKED,BOOKED,BOOKED,,,,1751140708458,1751140708801,1751140706356,1751140708801,1751140697090,1751140708840
01JYW1X111VS0TM2N2ASD6Y8R1,83,BOOKED,ac-hotel-jakarta-503,daihatsu-ayla-083,argo-bromo-anggrek-173,2025-06-28,2025-06-28,2025-06-28,2025-06-28,01JYW1X1FZDQMQGC9PJMB9JT3D,01JYW1X18J5HETXKEY0VJ68J6Y,01JYW1X18X1195Q15563FCTZJM,BOOKED,BOOKED,BOOKED,,,,1751140705960,1751140706095,1751140706514,1751140706514,1751140697121,1751140706613
01JYW1X1B1X8KR2RQZN85HTETP,11,BOOKED,ac-hotel-jakarta-111,daihatsu-ayla-011,argo-bromo-anggrek-108,2025-06-28,2025-06-28,2025-06-28,2025-06-28,01JYW1X66V0GKRDTQMYJCB3SVT,01JYW1X80FKBJF3WF156PEV3YG,01JYW1X8CATMEN2VGRMCA0419K,BOOKED,BOOKED,BOOKED,,,,1751140713850,1751140712770,1751140708564,1751140713850,1751140697441,1751140713886
01JYW1X1B1X8KR2RQZNBY5ZYPA,115,BOOKED,aloft-jakarta-115,daihatsu-calya-015,argo-bromo-anggrek-201,2025-06-28,2025-06-28,2025-06-28,2025-06-28,01JYW1X83S1JZE7GWNT26Q1D02,01JYW1X92QNDESH9NBRGESM17S,01JYW1X8FDBS8C84G17KHFM0C6,BOOKED,BOOKED,BOOKED,,,,1751140715107,1751140713636,1751140711339,1751140715107,1751140697441,1751140715137
01JYW1X1GFCEH083QMWPX3GXT3,119,BOOKED,aloft-jakarta-119,daihatsu-calya-019,argo-bromo-anggrek-205,2025-06-28,2025-06-28,2025-06-28,2025-06-28,01JYW1X8DPJXEMBR2GB5DC43DQ,01JYW1X7FHJCR4A886PVHEBV9A,01JYW1X89AJ9TT288HRVSVWGPE,BOOKED,BOOKED,BOOKED,,,,1751140708679,1751140712002,1751140713036,1751140713036,1751140697615,1751140713075
01JYW1X404VSNZQA8PJYZAD920,124,BOOKED,aloft-jakarta-204,daihatsu-calya-024,argo-bromo-anggrek-21,2025-06-28,2025-06-28,2025-06-28,2025-06-28,01JYW1X99KR5MWYCGWSD6046BZ,01JYW1XE4AT9A7DR8WCSKNV153,01JYW1X8RNNC398XNK6RNN4DBH,BOOKED,BOOKED,BOOKED,,,,1751140717858,1751140714190,1751140714938,1751140717858,1751140700164,1751140717891
